cursor_invoice_date,cursor_description,status,amount_usd,invoice_url,matched_purchase_date,matched_posting_date,card_description,amount_nok_paid,statement_invoice_number,statement_date,source_pdf,match_quality,notes
2025-06-02,Cursor Usage for June 2025 (Mid-Month Invoice),paid,101.19,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUVZTWTBERkcyRWlreG5DeW5WTkx6eGxXbGVmZ2QyLDE2NjAwNTIxMA0200YxcWFTP3?s=ap,2025-06-02,2025-06-03,CURSOR USAGE MID JUN CURSOR.COM,1056.46,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-07-24,,paid,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TazBZSHBMazNBRG50WVRwdDVtU3gyQk12M2pobUdCLDE2NjAwNTIxMA0200lWHKqdWs?s=ap,2025-07-24,2025-07-25,"CURSOR, AI POWERED IDE CURSOR.COM",206.93,47000418010029334013,2025-08-15,47000418010029334013.pdf,exact_amount_match,"Billing-dato fra Cursor er matchet mot korttransaksjon med samme USD-belop."
2025-07-06,Cursor Usage for June 2025,paid,65.08,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TZDRhMW03Sk5Vc21xb3ZMeExaWjROcThxNFlFdkptLDE2NjAwNTIxMA0200k9J1wwcr?s=ap,2025-07-06,2025-07-07,CURSOR USAGE JUN CURSOR.COM,672.34,47000418010029334012,2025-07-15,47000418010029334012.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-08-24,,paid,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TdmNYZUd5YlVhalloQ3pYNVhYZ3FhQUNBS3FaaWRNLDE2NjAwNTIxMA0200lakNt8sX?s=ap,2025-08-24,2025-08-25,"CURSOR, AI POWERED IDE CURSOR.COM",208.77,47000418010029334014,2025-09-15,47000418010029334014.pdf,exact_amount_match,"Billing-dato fra Cursor er matchet mot korttransaksjon med samme USD-belop."
2025-09-30,Cursor Usage for September 2025 (Mid-Month Invoice),paid,23.76,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UOVRnTHhmTVpmU0dwZlhZRjY0d0JFMXdMdGRCNXM4LDE2NjAwNTIxMA0200IXPZ7EP2?s=ap,2025-09-30,2025-10-01,CURSOR USAGE MID SEP CURSOR.COM,242.50,47000418010029334015,2025-10-15,47000418010029334015.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-09-24,,paid,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UN0VYUFo3djhrS3R3a2FXSVVJcklpTXRreVozSVFlLDE2NjAwNTIxMA0200y4re5BlK?s=ap,2025-09-24,2025-09-25,"CURSOR, AI POWERED IDE CURSOR.COM",203.84,47000418010029334015,2025-10-15,47000418010029334015.pdf,exact_amount_match,"Billing-dato fra Cursor er matchet mot korttransaksjon med samme USD-belop."
2025-10-30,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",paid,100.13,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US2lnMVlYcXVXVnF0YUdYSURlNUduVzRTenE0RnRGLDE2NjAwNTIxMA0200VtuoxOIh?s=ap,2025-10-30,2025-10-31,CURSOR USAGE MID OCT CURSOR.COM,1024.94,47000418010029334016,2025-11-14,47000418010029334016__1_.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-10-30,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",paid,100.32,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US2RYY0lVSUpFTXJMZXpqTWYxNFRmaHo0WGtTR0t1LDE2NjAwNTIxMA0200k89rv6f3?s=ap,2025-10-30,2025-10-31,CURSOR USAGE MID OCT CURSOR.COM,1026.88,47000418010029334016,2025-11-14,47000418010029334016__1_.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-10-30,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",paid,100.25,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US1lCWENCSURsQ2I2TWJpOGtuMkdYVHdTR1daVmw1LDE2NjAwNTIxMA02004CjfaDCF?s=ap,2025-10-30,2025-10-31,CURSOR USAGE MID OCT CURSOR.COM,1026.16,47000418010029334016,2025-11-14,47000418010029334016__1_.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-10-29,One-time Transitionary Invoice (2025-10-01 → 2025-10-24).,paid,60.27,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US0NLYUI3eWgzdVR1bXVVeDBLalpxS25zVVNrcjA1LDE2NjAwNTIxMA0200AZc0RAm4?s=ap,2025-10-29,2025-10-30,CURSOR USAGE OCT CURSOR.COM,616.32,47000418010029334016,2025-11-14,47000418010029334016__1_.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-10-25,Cursor Usage for October 2025 (Mid-Month Invoice),paid,101.75,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USXN1dGlIRjVFVEQ5U3RlM1YxcXR5Y0hYQmNQRTNTLDE2NjAwNTIxMA0200StH9GcVa?s=ap,2025-10-25,2025-10-26,CURSOR USAGE MID OCT CURSOR.COM,1042.37,47000418010029334016,2025-11-14,47000418010029334016__1_.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-10-24,,paid,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USVRKN05MeUt0RHlkY0ZUT0Z2dzdSNW9hVHdHRWJNLDE2NjAwNTIxMA0200iEu3s4RZ?s=ap,2025-10-24,2025-10-25,"CURSOR, AI POWERED IDE CURSOR.COM",205.87,47000418010029334016,2025-11-14,47000418010029334016__1_.pdf,exact_amount_match,"Billing-dato fra Cursor er matchet mot korttransaksjon med samme USD-belop."
2025-10-24,Cursor Usage for October 2025 (Mid-Month Invoice),paid,80.41,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USVJJNHZ1TFhvdlJUdmNNa05LZzBGb3JtTjZWbDVGLDE2NjAwNTIxMA0200UqLFO1VG?s=ap,2025-10-24,2025-10-25,CURSOR USAGE MID OCT CURSOR.COM,827.67,47000418010029334016,2025-11-14,47000418010029334016__1_.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-10-22,Cursor Usage for October 2025 (Mid-Month Invoice),paid,60.06,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USGRzMlZvWXA1VUJQYThFdnBHdUJWamdWdHA5anJ4LDE2NjAwNTIxMA0200Wr5tw0mE?s=ap,2025-10-22,2025-10-23,CURSOR USAGE MID OCT CURSOR.COM,618.70,47000418010029334016,2025-11-14,47000418010029334016__1_.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-10-14,Cursor Usage for September 2025,paid,5.13,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9URWhtOVZYcEdLSmhKaW5PVHI4QmlmZEpBUnk1RHRPLDE2NjAwNTIxMA0200z2TF2fQh?s=ap,2025-10-14,2025-10-15,CURSOR USAGE SEP CURSOR.COM,53.27,47000418010029334015,2025-10-15,47000418010029334015.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-10-11,Cursor Usage for October 2025 (Mid-Month Invoice),paid,40.23,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9URE93RzZCNnhHWFhscXU1Z3FMTjFQS1Y5QkdpUTRWLDE2NjAwNTIxMA0200qoBjy869?s=ap,2025-10-11,2025-10-12,CURSOR USAGE MID OCT CURSOR.COM,416.34,47000418010029334015,2025-10-15,47000418010029334015.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
